17.02.2015 01:08:05: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "EPOCH_loadPlayer_PVS" = [<NULL-object>,0]
17.02.2015 01:08:05: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "EPAH_gwqdtcrg" = ["jszbghvttiiogkrtpsiqihqusdgkhxyzzlcc",<NULL-object>,"yyyxrj"]
17.02.2015 01:08:16: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "EPOCH_oneWayTP" = [<NULL-object>,<NULL-object>,"yyyxrj"]
17.02.2015 01:08:23: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:23: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:23: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:24: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:25: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:25: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:25: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:25: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:25: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:25: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
17.02.2015 01:08:25: Grendel (192.168.1.109:2304) 06c1e3783613560b42581a2aa706d892 - Value Restriction #8 "HasEarplugMenu" = 
